comp_id,route_id,month,competitor,competitor_avg_price_usd,aci_avg_price_usd,price_gap_usd,aci_cheaper
COMP00001,R001,2025-01,Starbow,112.35,120.99,8.63,False
COMP00002,R001,2025-01,Fly540,117.82,127.93,10.11,False
COMP00003,R001,2025-01,Starbow,95.38,100.83,5.46,False
COMP00004,R001,2025-01,Fly540,101.19,104.04,2.85,False
COMP00005,R001,2025-03,Starbow,107.57,130.26,22.69,False
COMP00006,R001,2025-03,Fly540,115.69,114.23,-1.46,True
COMP00007,R001,2025-04,Starbow,108.99,107.71,-1.28,True
COMP00008,R001,2025-04,Fly540,121.3,113.13,-8.17,True
COMP00009,R001,2025-05,Starbow,134.04,126.46,-7.58,True
COMP00010,R001,2025-05,Fly540,90.98,126.39,35.41,False
COMP00011,R001,2025-05,Starbow,118.6,124.7,6.11,False
COMP00012,R001,2025-05,Fly540,92.0,117.4,25.4,False
COMP00013,R001,2025-06,Starbow,112.47,115.17,2.69,False
COMP00014,R001,2025-06,Fly540,90.19,110.68,20.49,False
COMP00015,R001,2025-07,Starbow,125.81,117.5,-8.31,True
COMP00016,R001,2025-07,Fly540,131.87,108.06,-23.81,True
COMP00017,R001,2025-08,Starbow,95.75,118.59,22.84,False
COMP00018,R001,2025-08,Fly540,92.02,104.86,12.84,False
COMP00019,R001,2025-09,Starbow,121.89,129.41,7.51,False
COMP00020,R001,2025-09,Fly540,129.91,103.89,-26.03,True
COMP00021,R001,2025-10,Starbow,116.0,123.97,7.97,False
COMP00022,R001,2025-10,Fly540,124.37,119.97,-4.4,True
COMP00023,R001,2025-11,Starbow,111.55,114.17,2.62,False
COMP00024,R001,2025-11,Fly540,108.06,112.74,4.68,False
COMP00025,R002,2025-01,Starbow,152.27,120.11,-32.15,True
COMP00026,R002,2025-01,Starbow,118.21,126.29,8.08,False
COMP00027,R002,2025-03,Starbow,134.16,119.49,-14.67,True
COMP00028,R002,2025-04,Starbow,140.23,132.66,-7.57,True
COMP00029,R002,2025-05,Starbow,114.68,132.28,17.61,False
COMP00030,R002,2025-05,Starbow,122.68,145.44,22.76,False
COMP00031,R002,2025-06,Starbow,126.53,125.89,-0.65,True
COMP00032,R002,2025-07,Starbow,121.32,120.76,-0.56,True
COMP00033,R002,2025-08,Starbow,155.62,129.43,-26.2,True
COMP00034,R002,2025-09,Starbow,147.96,135.61,-12.35,True
COMP00035,R002,2025-10,Starbow,134.14,118.07,-16.07,True
COMP00036,R002,2025-11,Starbow,126.17,142.15,15.98,False
COMP00037,R003,2025-01,Ethiopian Airlines,144.8,149.69,4.89,False
COMP00038,R003,2025-01,Ethiopian Airlines,106.43,124.02,17.59,False
COMP00039,R003,2025-03,Ethiopian Airlines,138.19,120.54,-17.65,True
COMP00040,R003,2025-04,Ethiopian Airlines,164.61,130.68,-33.93,True
COMP00041,R003,2025-05,Ethiopian Airlines,106.25,138.49,32.25,False
COMP00042,R003,2025-05,Ethiopian Airlines,141.47,149.81,8.34,False
COMP00043,R003,2025-06,Ethiopian Airlines,155.68,130.51,-25.17,True
COMP00044,R003,2025-07,Ethiopian Airlines,139.56,142.55,2.99,False
COMP00045,R003,2025-08,Ethiopian Airlines,142.77,122.61,-20.16,True
COMP00046,R003,2025-09,Ethiopian Airlines,142.51,144.62,2.11,False
COMP00047,R003,2025-10,Ethiopian Airlines,130.93,139.69,8.76,False
COMP00048,R003,2025-11,Ethiopian Airlines,161.21,119.05,-42.16,True
COMP00049,R004,2025-01,ASKY Airlines,122.03,120.84,-1.19,True
COMP00050,R004,2025-01,ASKY Airlines,97.84,118.39,20.55,False
COMP00051,R004,2025-03,ASKY Airlines,131.04,116.24,-14.8,True
COMP00052,R004,2025-04,ASKY Airlines,121.26,130.46,9.21,False
COMP00053,R004,2025-05,ASKY Airlines,124.07,107.19,-16.89,True
COMP00054,R004,2025-05,ASKY Airlines,114.32,135.74,21.42,False
COMP00055,R004,2025-06,ASKY Airlines,132.08,111.53,-20.54,True
COMP00056,R004,2025-07,ASKY Airlines,144.0,109.25,-34.75,True
COMP00057,R004,2025-08,ASKY Airlines,150.47,123.33,-27.14,True
COMP00058,R004,2025-09,ASKY Airlines,92.58,116.49,23.92,False
COMP00059,R004,2025-10,ASKY Airlines,137.24,132.07,-5.17,True
COMP00060,R004,2025-11,ASKY Airlines,142.54,132.46,-10.08,True
COMP00061,R005,2025-01,Kenya Airways,180.41,171.28,-9.13,True
COMP00062,R005,2025-01,Ethiopian Airlines,160.14,189.18,29.03,False
COMP00063,R005,2025-01,Kenya Airways,185.21,172.08,-13.13,True
COMP00064,R005,2025-01,Ethiopian Airlines,142.36,166.97,24.6,False
COMP00065,R005,2025-03,Kenya Airways,174.66,192.53,17.88,False
COMP00066,R005,2025-03,Ethiopian Airlines,183.01,193.11,10.09,False
COMP00067,R005,2025-04,Kenya Airways,145.63,152.27,6.63,False
COMP00068,R005,2025-04,Ethiopian Airlines,147.35,154.85,7.5,False
COMP00069,R005,2025-05,Kenya Airways,196.69,184.18,-12.51,True
COMP00070,R005,2025-05,Ethiopian Airlines,167.19,179.13,11.94,False
COMP00071,R005,2025-05,Kenya Airways,168.99,161.71,-7.28,True
COMP00072,R005,2025-05,Ethiopian Airlines,198.39,159.18,-39.21,True
COMP00073,R005,2025-06,Kenya Airways,167.23,197.65,30.42,False
COMP00074,R005,2025-06,Ethiopian Airlines,150.89,183.16,32.28,False
COMP00075,R005,2025-07,Kenya Airways,186.57,196.72,10.15,False
COMP00076,R005,2025-07,Ethiopian Airlines,198.6,171.44,-27.17,True
COMP00077,R005,2025-08,Kenya Airways,150.12,188.54,38.42,False
COMP00078,R005,2025-08,Ethiopian Airlines,176.81,161.21,-15.61,True
COMP00079,R005,2025-09,Kenya Airways,178.18,183.02,4.84,False
COMP00080,R005,2025-09,Ethiopian Airlines,173.57,197.53,23.96,False
COMP00081,R005,2025-10,Kenya Airways,209.74,157.38,-52.35,True
COMP00082,R005,2025-10,Ethiopian Airlines,194.93,165.44,-29.49,True
COMP00083,R005,2025-11,Kenya Airways,168.69,148.11,-20.57,True
COMP00084,R005,2025-11,Ethiopian Airlines,199.92,156.05,-43.87,True
COMP00085,R006,2025-01,ASKY Airlines,128.59,143.48,14.88,False
COMP00086,R006,2025-01,Air Senegal,177.49,155.56,-21.93,True
COMP00087,R006,2025-01,ASKY Airlines,125.45,170.78,45.32,False
COMP00088,R006,2025-01,Air Senegal,183.35,143.68,-39.67,True
COMP00089,R006,2025-03,ASKY Airlines,159.74,184.52,24.78,False
COMP00090,R006,2025-03,Air Senegal,144.23,177.21,32.98,False
COMP00091,R006,2025-04,ASKY Airlines,166.5,140.19,-26.32,True
COMP00092,R006,2025-04,Air Senegal,136.76,172.82,36.05,False
COMP00093,R006,2025-05,ASKY Airlines,147.83,164.42,16.59,False
COMP00094,R006,2025-05,Air Senegal,195.92,143.34,-52.58,True
