route_id,aircraft_type_assigned,seat_capacity,fuel_cost_usd,crew_cost_usd,airport_fees_usd,total_operating_cost_usd,breakeven_load_factor_pct,avg_competitor_price_usd
R001,ATR72,68,779.17,291.67,414.0,1484.84,26.8,87.12
R002,ATR72,68,1012.92,379.17,418.8,1810.89,28.9,112.91
R003,ATR72,68,1090.83,408.33,420.8,1919.96,29.2,153.99
R004,A320,150,2578.33,408.33,416.8,3403.46,25.8,135.6
R005,A320,150,4788.33,758.33,436.8,5983.46,30.0,159.64
R006,A320,150,3499.17,554.17,433.2,4486.54,24.0,180.14
R007,A320,150,3130.83,495.83,426.0,4052.66,24.9,179.75
R008,A320,150,3683.33,583.33,431.6,4698.26,25.9,129.52
R009,A320neo,165,11602.5,2275.0,595.2,14472.7,17.9,602.47
R010,A320,150,2578.33,408.33,416.8,3403.46,25.8,147.85
R011,A320,150,4788.33,758.33,436.8,5983.46,30.0,169.22
R012,A320,150,3499.17,554.17,433.2,4486.54,24.0,145.44
