activity_id,customer_id,activity_date,activity_type,points_change,running_balance,tier_after,channel
LOY000001,CUST0001,2023-11-13,earn_flight,835,6592,Gold,Agent
LOY000002,CUST0001,2024-05-07,redeem_voucher,-1140,5452,Gold,App
LOY000003,CUST0001,2024-09-01,earn_flight,700,6152,Gold,Agent
LOY000004,CUST0002,2023-10-21,earn_flight,566,1158,Bronze,Agent
LOY000005,CUST0002,2023-10-31,redeem_voucher,-406,752,Bronze,Kiosk
LOY000006,CUST0002,2024-05-21,earn_flight,1808,2560,Bronze,Agent
LOY000007,CUST0002,2024-01-24,earn_flight,529,3089,Bronze,Agent
LOY000008,CUST0002,2023-10-23,earn_bonus,450,3539,Bronze,Web
LOY000009,CUST0003,2024-09-02,earn_flight,1995,2163,Bronze,Web
LOY000010,CUST0003,2024-07-08,redeem_voucher,-314,1849,Bronze,Web
LOY000011,CUST0003,2023-09-12,redeem_voucher,-1021,828,Bronze,Agent
LOY000012,CUST0003,2023-10-17,earn_flight,1261,2089,Bronze,Agent
LOY000013,CUST0003,2024-03-15,redeem_upgrade,-1010,1079,Bronze,Kiosk
LOY000014,CUST0003,2024-01-04,earn_flight,605,1684,Bronze,Agent
LOY000015,CUST0003,2024-10-22,redeem_voucher,-1017,667,Bronze,Agent
LOY000016,CUST0003,2024-03-22,tier_upgrade,0,667,Bronze,Web
LOY000017,CUST0003,2025-01-13,earn_flight,1647,2314,Bronze,App
LOY000018,CUST0004,2024-01-21,redeem_upgrade,-1064,0,Bronze,App
LOY000019,CUST0004,2024-09-08,earn_flight,1058,1058,Bronze,Agent
LOY000020,CUST0004,2023-08-22,redeem_upgrade,-434,624,Bronze,Agent
LOY000021,CUST0004,2024-07-24,earn_flight,990,1614,Bronze,Web
LOY000022,CUST0005,2024-05-06,tier_upgrade,0,465,Bronze,Web
LOY000023,CUST0005,2025-01-11,redeem_voucher,-1480,0,Bronze,Agent
LOY000024,CUST0006,2024-03-01,earn_flight,1661,2316,Bronze,Web
LOY000025,CUST0006,2023-08-11,earn_bonus,1100,3416,Bronze,App
LOY000026,CUST0006,2023-12-03,redeem_voucher,-829,2587,Bronze,Web
LOY000027,CUST0006,2023-10-09,earn_flight,1261,3848,Bronze,App
LOY000028,CUST0006,2023-11-06,redeem_upgrade,-341,3507,Bronze,Web
LOY000029,CUST0006,2023-12-20,redeem_upgrade,-1325,2182,Bronze,Web
LOY000030,CUST0006,2024-05-08,earn_bonus,1342,3524,Bronze,Kiosk
LOY000031,CUST0006,2024-03-14,redeem_voucher,-611,2913,Bronze,Agent
LOY000032,CUST0006,2024-09-22,tier_upgrade,0,2913,Bronze,Agent
LOY000033,CUST0006,2024-11-01,redeem_voucher,-1124,1789,Bronze,App
LOY000034,CUST0007,2023-10-15,earn_flight,1304,1558,Bronze,Web
LOY000035,CUST0007,2024-03-23,earn_flight,1549,3107,Bronze,App
LOY000036,CUST0007,2024-04-01,earn_flight,164,3271,Bronze,Agent
LOY000037,CUST0007,2023-10-22,earn_bonus,670,3941,Bronze,Kiosk
LOY000038,CUST0007,2024-03-17,earn_bonus,1581,5522,Bronze,Kiosk
LOY000039,CUST0008,2024-09-30,earn_flight,298,547,Bronze,Kiosk
LOY000040,CUST0008,2024-08-07,earn_flight,1056,1603,Bronze,App
LOY000041,CUST0008,2023-11-19,earn_flight,1591,3194,Bronze,Agent
LOY000042,CUST0008,2023-11-30,earn_flight,489,3683,Bronze,Kiosk
LOY000043,CUST0008,2024-01-01,earn_flight,670,4353,Bronze,Kiosk
LOY000044,CUST0008,2024-04-22,redeem_voucher,-354,3999,Bronze,Kiosk
LOY000045,CUST0008,2023-11-19,earn_flight,1207,5206,Bronze,App
LOY000046,CUST0008,2023-11-14,redeem_voucher,-684,4522,Bronze,Web
LOY000047,CUST0008,2024-09-30,earn_flight,537,5059,Bronze,Kiosk
LOY000048,CUST0009,2024-09-02,earn_flight,899,960,Bronze,Agent
LOY000049,CUST0009,2024-11-18,earn_flight,1526,2486,Bronze,Kiosk
LOY000050,CUST0009,2024-01-16,earn_flight,545,3031,Bronze,App
LOY000051,CUST0009,2023-10-12,redeem_upgrade,-317,2714,Bronze,App
LOY000052,CUST0010,2025-01-06,redeem_voucher,-1287,0,Bronze,Web
LOY000053,CUST0010,2023-10-08,tier_upgrade,0,0,Bronze,App
LOY000054,CUST0010,2024-02-17,earn_flight,239,239,Bronze,Web
LOY000055,CUST0010,2024-09-27,earn_flight,1923,2162,Bronze,Web
